Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Leandro Serras,Not for Sale,1.83,2.61,0.63,0,,5.84,0.73,13%,0,12.3km,0.83,46.3,39.52,10.12,13.56,3.23,0.42,0.94,0.1,0.21,0.63,1.77,16.48,1.46,3.23,0,24%,1.88,62%,85%,12.2,0,0.42,2.92,0.63
,  ,Patrick Haase,Not for Sale,1.21,4.04,2.18,0.36,15%,1.46,0.32,22%,2,12.0km,0.85,44.53,39.4,9.99,13.31,3.8,0.16,0.53,0.12,0.61,1.13,1.78,13.02,1.13,2.71,0,54%,2.27,84%,88%,11.97,0.12,0.12,1.13,0.16
,  ,David Hörberg,Not for Sale,1.38,4.92,2.03,0.29,9%,1.06,0.1,9%,1,12.9km,0.87,46.64,40.85,11.39,16.42,2.99,0.29,1.06,0.29,0.19,0.77,2.22,15.16,1.26,2.8,0,41%,1.74,62%,88%,12.26,0.19,0.19,1.26,0.1
Inj,  ,José Luciano,Not for Sale,2.41,2.37,0.55,0,11%,0.74,0.08,11%,3,12.8km,2.2,45.96,40.71,12.32,8.66,4.4,0.22,1.07,0.52,0.25,0.61,1.73,17.22,1.84,2.81,0,23%,1.76,83%,89%,10.37,0.08,0.36,1.84,0.17
,  ,Ionuţ DogarCernat,Not for Sale,1.16,3.23,1.18,0.1,31%,0.66,0.21,32%,6,12.2km,1.15,44.34,38.18,10.36,11.89,2.99,0.42,0.9,0.45,0.52,0.66,1.77,11.09,1.04,2.3,0,37%,1.39,77%,86%,10.61,0,0.28,1.04,0.21
,  ,Brenton Kirkpatrick,Not for Sale,1.43,3.55,1.05,0.03,32%,1.12,0.36,32%,11,12.5km,1.22,43.7,37.62,10.48,11.17,3.71,0.2,0.53,0.1,0.36,0.92,1.81,13.01,1.31,3.52,0,30%,2.3,79%,86%,11.14,0.03,0.23,1.31,0.13
,  ,Rúben Cardoso,Not for Sale,1.19,3.6,1.74,0.19,18%,0.34,0.06,18%,2,12.4km,0.65,49.78,43.54,9.75,7.17,5.12,0.34,0.78,0.19,0.56,0.96,1.77,12.42,1.3,2.39,0.03,48%,1.86,88%,87%,9.78,0.06,0.22,1.3,0.09
Int,  ,Ren Ke,Not for Sale,1.49,2.59,0.55,0.12,22%,0.82,0.18,22%,6,13.0km,1.43,46.86,41.5,12.38,10.28,3.26,0.27,1.03,0.43,0.24,0.4,1.8,13.48,1.19,2.4,0,21%,1.37,76%,89%,11.35,0,0.24,1.19,0.3
Int,  ,Ferdi Arslan,Not for Sale,1.35,3.75,0.59,0,23%,2.03,0.27,13%,4,13.4km,1.64,33.77,28.62,13.63,15.31,1.99,0.94,2.58,1.09,0.23,0.86,1.91,14.68,1.6,2.38,0,16%,1.44,82%,85%,11.01,0,0.31,1.91,0.35
,  ,Julián Arregui,Not for Sale,1.75,3.75,1.44,0.05,11%,0.87,0.1,11%,2,11.9km,1.01,44.23,37.88,10.14,10.72,3.27,0.67,1.73,0.77,0.43,0.58,1.49,14.23,1.15,2.79,0,38%,2.07,88%,86%,11.39,0,0.29,1.15,0.34
,  ,Julius Beck,Not for Sale,1.19,3.36,1.33,0.26,33%,0.65,0.17,27%,4,12.9km,0.43,50.64,45.47,10.72,5.51,4.91,0.13,0.39,0.09,0.65,1.08,1.33,16.41,1.38,2.71,0.09,40%,2.11,79%,90%,9.52,0.13,0.39,1.55,0.47
,  ,Iliesse Salhi,Not for Sale,2.07,2.44,0.76,0.03,20%,1.12,0.22,20%,8,13.0km,0.9,50.95,43.78,12.02,9.58,4.54,0.11,0.76,0.28,0.11,0.34,1.37,16.3,2.21,2.77,0,31%,2.24,88%,86%,10.36,0.06,0.36,2.21,0.34
Int,  ,Marco Lima Pereira,Not for Sale,2.02,2.77,0.8,0.07,12%,0.84,0.1,12%,3,12.8km,1.4,45.89,40.74,11.43,12.33,4.61,0.53,1.97,0.74,0.43,0.5,1.54,15.94,2.11,2.87,0,29%,2.01,78%,89%,10.33,0.07,0.27,2.11,0.3
Inj,  ,João Cabrita,Not for Sale,1.47,3.64,1.14,0.18,11%,0.66,0.07,11%,2,12.2km,0.51,51.6,46.19,8.75,5.03,4.48,0.07,0.4,0.07,0.37,1.4,0.99,13.82,1.65,2.68,0.04,31%,1.87,78%,90%,9.37,0.07,0.77,2.39,0.18
,  ,Murilo Barreiras,Not for Sale,1.41,3.52,1.43,0,,0.5,0,0%,0,12.9km,0.89,50.1,44.65,10.58,6.91,5.25,0.27,0.77,0.23,0.54,0.81,1.62,11.59,0.97,2.43,0.08,41%,1.7,83%,89%,9.81,0.08,0.42,0.97,0.27
,  ,Tihomir Tonev,Not for Sale,1.17,3.35,1.48,0.18,,0.49,0,0%,0,12.8km,0.32,49.87,44.54,11.64,8.82,4.09,0.14,0.49,0.04,0.56,1.13,1.48,12.7,1.16,2.75,0.21,44%,2.01,69%,89%,9.59,0.07,0.21,1.16,0.07
,  ,Helgi Egilsson,Not for Sale,1.23,6.44,1.39,0.04,28%,3.34,0.45,13%,6,12.8km,1.51,32.01,25.77,10.56,17.33,1.47,0.45,1.84,0.57,0.24,0.53,1.39,13.7,0.94,2.24,0,22%,1.35,85%,81%,9.79,0.04,0.45,0.94,0.08
,  ,Üzeyir Aksu,Not for Sale,1.2,2.76,0.56,0,23%,1.54,0.28,18%,5,12.0km,1.08,43.45,38.21,9.28,11.27,3.32,0.49,1.33,0.49,0.52,1.22,1.71,15.98,1.36,2.69,0,20%,1.81,87%,88%,11.13,0.17,0.52,1.36,0.21
,  ,Roman Isakov,Not for Sale,1.06,4.55,2.46,0.18,5%,0.73,0.04,5%,1,11.4km,0.81,48.3,42.39,7.85,13.69,3.78,0.15,0.73,0.11,0.51,1.32,1.32,13.29,1.39,2.9,0,54%,1.69,73%,88%,11.34,0.04,0.48,1.39,0.07
,  ,Richard Murphy,Not for Sale,1.17,3.29,1.18,0.05,22%,0.65,0.14,22%,6,12.5km,0.86,50.31,43.65,12.69,12.71,3.56,0.26,0.94,0.38,0.41,0.6,1.56,13.6,1.27,3.1,0,36%,2.07,80%,87%,11.72,0.07,0.5,1.27,0.14
Int,  ,Massimiliano Moretto,Not for Sale,1.73,3.78,1.8,0.36,28%,0.77,0.22,29%,8,12.7km,1.13,51.88,45.39,10.88,9.36,4.56,0.19,0.75,0.3,0.28,0.66,1.66,14.06,2.04,2.68,0,47%,1.77,75%,87%,10.97,0.03,0.44,2.04,0.14
